complex,area_full,area_trans,predicted
TRANS-CPLX-201,116.60811523727068,116.60811523727068,0
CPLX0-3932,118.14348229137767,118.14348229137767,0
ACYLCOASYN-CPLX,42.00684207450806,4.629329635,0
AERGLYC3PDEHYDROG-CPLX,28.646957327064488,28.646957327064488,0
APP-UBIOX-CPLX,78.22393596363864,77.53390321007427,0
APP-UBIOX-CPLX,78.22393596363864,77.53390321007427,0
CPLX0-7653,34.282149828830036,34.03500858371796,0
ABC-4-CPLX,36.87740182666083,22.026582834960568,0
ABC-4-CPLX,36.87740182666083,22.026582834960568,0
ABC-4-CPLX,36.87740182666083,22.026582834960568,0
CPLX0-7870,25.189169382830606,1.4700887511958396,0
ATPSYN-CPLX,105.52,43.75,0
F-O-CPLX,46.31135342140047,43.87928429345365,0
ABC-5-CPLX,39.245699142047094,32.78469716301047,0
CPLX0-7906,76.84481396999999,75.73011490095745,0
CHEZ-CPLX,35.89440390832488,2.4954172659032143,0
CYT-D-UBIOX-CPLX,32.643784859105956,31.023228952910173,0
CYT-D-UBIOX-CPLX,32.643784859105956,31.023228952910173,0
CYT-O-UBIOX-CPLX,86.11190212,84.12485555102037,0
CYT-O-UBIOX-CPLX,86.11190212,84.12485555102037,0
CYT-O-UBIOX-CPLX,86.11190212,84.12485555102037,0
CYT-O-UBIOX-CPLX,86.11190212,84.12485555102037,0
DIACYLGLYKIN-CPLX,53.70794153431014,46.41419812451428,0
CPLX0-8545,37.90452451886816,3.2238278289999998,0
CPLX0-7934,11.813114668054979,1.7695736716304151,0
CPLX0-2921,45.457238712662864,27.890700443801524,0
ATPASE-1-CPLX,58.87649002827467,38.77579960273246,0
ATPASE-1-CPLX,58.87649002827467,38.77579960273246,0
CPLX0-8188,70.61784433955681,12.365857263659485,0
CPLX0-3951,40.296769716194184,2.260952715541039,0
CPLX0-2423,57.373678384885345,4.779013542446649,0
CPLX0-3461,82.91565741982096,20.460606426911628,0
CPLX0-2941,98.60336921954992,48.67588866087189,0
CPLX0-7934,11.813114668054979,1.7695736716304151,0
CPLX0-7626,57.02650164,47.57760746477909,0
TATABCE-CPLX,35.959164444981276,25.40869677710441,0
TATABCE-CPLX,35.959164444981276,25.40869677710441,0
FORMHYDROG2-CPLX,65.44572897012148,0.0,0
CPLX0-8271,14.272255449659754,13.917852251760833,0
CPLX0-8125,57.43550923901761,43.26754321903007,0
CPLX0-8125,57.43550923901761,43.26754321903007,0
ABC-45-CPLX,48.79407939394096,7.404794700664525,0
CPLX0-7963,23.780187160740113,18.090647426798526,0
ENVZ-CPLX,15.955031971767715,13.319377609609603,0
ALPHA-SUBUNIT-CPLX,123.64583307966095,32.98854775557908,0
FORMATEDEHYDROGN-CPLX,123.64583307966095,32.98854775557908,0
ABC-11-CPLX,42.628261682219915,30.911896609552123,0
ABC-54-CPLX,35.36482757767115,1.074089052523084,0
FUMARATE-REDUCTASE,38.140715552149125,13.722915348958924,0
FUMARATE-REDUCTASE,38.140715552149125,13.722915348958924,0
CPLX0-8288,35.44596854407345,29.81238404,0
CPLX0-7983,60.90172462,27.94033614335004,0
CPLX0-8551,78.49737113128924,5.497887449,0
CPLX0-7529,127.8002812208884,109.0265203228804,0
TATABCE-CPLX,35.959164444981276,25.40869677710441,0
CPLX0-7654,42.26197562880388,40.62800189,0
CPLX0-8167,66.37212597270208,15.420341482076552,0
FORMHYDROGI-CPLX,66.99550846901779,48.84238978552699,0
ATPASE-1-CPLX,58.87649002827467,38.77579960273246,0
KDPD-CPLX,29.086514745413112,16.165640389929294,0
CPLX0-7819,36.76364158834613,3.620152738,0
CPLX0-7415,42.696412403844285,21.11724975184018,0
TRANS-200-CPLX,95.02280268517615,95.02280268517615,0
TRANS-200-CPLX,95.02280268517615,95.02280268517615,0
ABC-16-CPLX,63.96181658830226,30.07997810037326,0
ABC-16-CPLX,63.96181658830226,30.07997810037326,0
CPLX-165,87.24154074716378,86.13673003485872,0
CPLX0-7921,87.24154074716378,86.13673003485872,0
CPLX-165,87.24154074716378,86.13673003485872,0
CPLX-165,87.24154074716378,86.13673003485872,0
METNIQ-METHIONINE-ABC-CPLX,32.85120724170606,17.705424507958256,0
ATPASE-1-CPLX,58.87649002827467,38.77579960273246,0
CYT-D-UBIOX-CPLX,32.643784859105956,31.023228952910173,0
CPLX0-7982,86.12482030227362,86.12482030227362,0
CPLX-166,46.48570157837422,1.970322161,0
NITRATREDUCTA-CPLX,107.10434080945696,27.85170669734003,0
NITRATREDUCTZ-CPLX,10.149748794902973,6.5489474062585655,0
NARX-CPLX,21.414648667122098,3.1495478981635148,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
CPLX0-3361,88.15997801106676,22.344452780481483,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
CPLX0-3361,88.15997801106676,22.344452780481483,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
CPLX0-3361,88.15997801106676,22.344452780481483,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
CPLX0-3361,88.15997801106676,22.344452780481483,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
CPLX0-3361,88.15997801106676,22.344452780481483,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
CPLX0-3361,88.15997801106676,22.344452780481483,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
NADH-DHI-CPLX,212.25136247864143,107.20076425645995,0
CPLX0-8168,26.652510682821244,0.035026507426261726,0
PUTA-CPLX,32.16478413437852,11.785218217569895,0
CPLX0-8097,36.01691315292634,33.16595194339069,0
CPLX0-8160,106.63087271036984,45.67711380044103,0
SUCC-DEHASE,116.73188102636979,40.54230764749331,0
CPLX0-8160,106.63087271036984,45.67711380044103,0
SUCC-DEHASE,116.73188102636979,40.54230764749331,0
CPLX0-8160,106.63087271036984,45.67711380044103,0
SUCC-DEHASE,116.73188102636979,40.54230764749331,0
CPLX0-8089,103.11059409632408,5.339720628655958,0
SECE-G-Y-CPLX,63.25825693657705,0.0,0
SECE-G-Y-CPLX,63.25825693657705,0.0,0
SECE-G-Y-CPLX,63.25825693657705,0.0,0
EIISGA,44.69084949892339,42.2735716977317,0
TATABCE-CPLX,35.959164444981276,25.40869677710441,0
CPLX0-8103,117.71791902405312,10.306408859081284,0
CPLX0-8247,41.164891747104214,41.164891747104214,0
CPLX0-7961,68.91459231548797,42.73740415705093,0
CPLX0-1721,103.03502881372657,73.58648543622866,0
ABC-62-CPLX,35.69028801081184,16.88380355750859,0
ABC-62-CPLX,35.69028801081184,16.88380355750859,0
ABC-62-CPLX,35.69028801081184,16.88380355750859,0
CPLX0-7641,26.799078360076773,23.64621893591292,0
ABC-45-CPLX,48.79407939394096,7.404794700664525,0
CPLX-170,48.537576469864916,26.097165275086454,1
CPLX-170,48.537576469864916,26.097165275086454,1
ANGLYC3PDEHYDROG-CPLX,68.16693897072963,36.651271076963475,1
ABC-2-CPLX,82.61093127620103,44.41736246106865,1
ABC-2-CPLX,82.61093127620103,44.41736246106865,1
ARCB-CPLX,72.99425241000168,39.24676936554292,1
CPLX-7,54.203522727939124,29.14357069313455,1
CPLX0-8120,63.75426277582504,34.278710509680884,1
CPLX0-8120,63.75426277582504,34.278710509680884,1
CPLX0-8120,63.75426277582504,34.278710509680884,1
CPLX-153,57.63280214649629,30.98738899370632,1
YDGEF-CPLX,28.063884652757014,15.089089511889267,1
YDGEF-CPLX,28.063884652757014,15.089089511889267,1
TRANS-CPLX-202,130.8354513749909,70.34620693296385,1
TRANS-CPLX-202,130.8354513749909,70.34620693296385,1
CPLX0-8302,79.29032666563097,42.631975269578696,1
CPLX-154,65.42426844149367,35.17662130451308,1
CPLX-9493,46.593839312083574,25.05207745762115,1
CPLX-9495,56.97548586012888,30.633970199218577,1
ABC-35-CPLX,40.245232345931235,21.638626327338457,1
CPLX-9495,56.97548586012888,30.633970199218577,1
CPLX-155,48.04119668238514,25.830277096993864,1
CPLX-156,45.66595190969058,24.55318087773206,1
CPLX0-8270,55.944444582886874,30.07961094656148,0
CREC-CPLX,56.97548586012888,30.633970199218577,1
CPLX-157,62.011715628197166,33.341796386259226,1
CPLX-168,61.790442074687604,33.22282438730642,1
CPLX0-7,46.92338727253413,25.22926528230138,1
ABC-6-CPLX,63.05216139154925,33.90121214247896,1
ABC-6-CPLX,63.05216139154925,33.90121214247896,1
ABC-7-CPLX,74.84719312416286,40.24303872176889,1
ABC-70-CPLX,74.64103366967647,40.13219311001708,1
ABC-7-CPLX,74.84719312416286,40.24303872176889,1
ABC-70-CPLX,74.64103366967647,40.13219311001708,1
DALADEHYDROG-CPLX,54.39271535457221,29.245293762252693,1
DIMESULFREDUCT-CPLX,66.87371609738844,35.95594482629949,1
ABC-8-CPLX,79.26873049835974,42.620363673212,1
ABC-8-CPLX,79.26873049835974,42.620363673212,1
ABC-8-CPLX,79.26873049835974,42.620363673212,1
CPLX0-8245,94.06544693756298,50.57610399910616,1
CPLX0-8252,52.5353209206174,28.24662977757602,1
CPLX0-8254,52.33941475319493,28.14129704361046,1
CPLX0-2141,153.61194694036516,82.59242959976484,1
CPLX0-1923,46.224919498376934,24.85372059574664,1
CPLX0-1924,65.10947462584858,35.00736633069778,1
CPLX0-1941,68.4926788175982,36.826411395839685,1
CPLX0-1942,68.51767158574167,36.839849240255475,1
CPLX0-1943,69.18906382800255,37.20083624424344,1
CPLX0-7952,68.06639770808826,36.597213125599815,1
CPLX0-8541,68.84175188432553,37.01409727094967,1
CPLX0-8553,66.38548647240088,35.69343874045476,1
CPLX0-1923,46.224919498376934,24.85372059574664,1
CPLX0-1924,65.10947462584858,35.00736633069778,1
CPLX0-1941,68.4926788175982,36.826411395839685,1
CPLX0-1942,68.51767158574167,36.839849240255475,1
CPLX0-1943,69.18906382800255,37.20083624424344,1
CPLX0-7952,68.06639770808826,36.597213125599815,1
CPLX0-8541,68.84175188432553,37.01409727094967,1
CPLX0-8553,66.38548647240088,35.69343874045476,1
CPLX0-7704,63.13357157573635,33.94498390008052,0
CPLX0-2424,97.2865691312143,52.3080025480821,1
CPLX0-2381,179.97263754148545,96.76576394022102,1
CPLX0-7608,55.760517143964854,29.980718807289726,1
CPLX0-7609,86.121799311406,46.305048456900096,1
CPLX0-2201,69.13955465255502,37.17421668001593,1
CPLX0-2201,69.13955465255502,37.17421668001593,1
CPLX0-2201,69.13955465255502,37.17421668001593,1
CPLX0-1923,46.224919498376934,24.85372059574664,1
CPLX0-1924,65.10947462584858,35.00736633069778,1
CPLX0-1941,68.4926788175982,36.826411395839685,1
CPLX0-1942,68.51767158574167,36.839849240255475,1
CPLX0-1943,69.18906382800255,37.20083624424344,1
CPLX0-7952,68.06639770808826,36.597213125599815,1
CPLX0-8541,68.84175188432553,37.01409727094967,1
CPLX0-8553,66.38548647240088,35.69343874045476,1
CPLX0-3925,48.9590394576792,26.32377298915619,1
SEC-SECRETION-CPLX,88.28155972756313,47.466285350753594,0
SECD-SECF-YAJC-YIDC-CPLX,59.905198281001596,32.209186656584514,1
CPLX0-7627,48.25455611857719,25.944993917945155,1
CPLX0-2121,90.29497172946058,48.54883519361571,1
CPLX0-3382,110.06843282288762,59.180418386403275,1
CPLX0-3976,37.74248872408414,20.292977889760135,1
CPLX0-8183,60.389116037090155,32.46937438285125,0
CPLX0-7451,159.3453690364192,85.67511470509662,1
CPLX0-7451,159.3453690364192,85.67511470509662,1
CPLX-9494,58.429402847547976,31.415696743404176,1
CPLX-9494,58.429402847547976,31.415696743404176,1
TRANS-CPLX-204,99.66845658724533,53.58867033431345,1
CPLX0-8555,67.33298394731973,36.202879054518164,1
TRANS-CPLX-203,55.82189362610485,30.013719058124366,1
CPLX0-8152,64.36896910988457,34.60921924048977,1
CPLX0-2121,90.29497172946058,48.54883519361571,1
CPLX0-2161,90.23806910534731,48.518240398941685,1
FORMATEDEHYDROGO-CPLX,72.31083677561342,38.87931775259967,1
FORMATEDEHYDROGO-CPLX,72.31083677561342,38.87931775259967,1
ABC-9-CPLX,70.70665572978402,38.01679883573197,1
ABC-9-CPLX,70.70665572978402,38.01679883573197,1
ABC-9-CPLX,70.70665572978402,38.01679883573197,1
ABC-10-CPLX,72.23976959699385,38.841107111670354,1
ABC-10-CPLX,72.23976959699385,38.841107111670354,1
ABC-10-CPLX,72.23976959699385,38.841107111670354,1
CPLX0-7450,33.666491973659866,18.101439527259082,1
CPLX0-7452,505.3396921555071,271.7056438619561,1
FLAGELLAR-MOTOR-COMPLEX,278.39698296009175,149.68551388027637,1
CPLX0-7843,69.85400337317303,37.55835383103578,1
CPLX-158,71.71645848176912,38.55973878515763,1
CPLX-159,46.483470804982,24.992735698504216,1
CPLX-160,69.51001392869159,37.373401263593706,1
CPLX0-7451,159.3453690364192,85.67511470509662,1
CPLX0-7981,99.73714608994557,53.62560257187056,1
CPLX0-7994,44.488502540215684,23.92010248706889,1
CPLX0-7994,44.488502540215684,23.92010248706889,1
CPLX0-1601,84.88026687952448,45.63751457025646,1
CPLX0-7451,159.3453690364192,85.67511470509662,1
CPLX0-8152,64.36896910988457,34.60921924048977,1
CPLX0-8213,43.19983815804888,23.227227197211676,1
CPLX0-7720,28.607691851863965,15.381477953691405,1
CPLX0-8200,71.52521425204013,38.456912632017435,1
CPLX0-8219,34.52021489602183,18.560460142304468,1
CPLX0-7992,93.64587628605517,50.350513736193605,1
CPLX0-4,57.4840720865595,30.907421404925824,1
CPLX0-3382,110.06843282288762,59.180418386403275,1
CPLX0-3382,110.06843282288762,59.180418386403275,1
CPLX0-7992,93.64587628605517,50.350513736193605,1
CPLX0-7992,93.64587628605517,50.350513736193605,1
CPLX0-231,62.64352350668597,33.681500092670305,1
CPLX0-8011,50.13394712097417,26.955484782410043,1
ABC-12-CPLX,63.18778676097457,33.974133741347515,1
ABC-12-CPLX,63.18778676097457,33.974133741347515,1
ABC-13-CPLX,65.52886366165797,35.232858944422986,1
ABC-13-CPLX,65.52886366165797,35.232858944422986,1
CPLX-169,46.409745983315254,24.95309612447011,1
ABC-14-CPLX,65.1620458694767,35.03563227501274,1
ABC-3-CPLX,65.1620458694767,35.03563227501274,1
ABC-14-CPLX,65.1620458694767,35.03563227501274,1
ABC-3-CPLX,65.1620458694767,35.03563227501274,1
FHLMULTI-CPLX,98.56291438237331,52.99425421926408,1
HYDROG3-CPLX,85.24257462157749,45.832316324123816,1
FHLMULTI-CPLX,98.56291438237331,52.99425421926408,1
HYDROG3-CPLX,85.24257462157749,45.832316324123816,1
CPLX0-7674,75.5756501264396,40.63470769592983,1
ABC-15-CPLX,73.83383052535503,39.69818475195649,1
ABC-304-CPLX,73.8801940027814,39.723112970897844,1
ABC-15-CPLX,73.83383052535503,39.69818475195649,1
ABC-304-CPLX,73.8801940027814,39.723112970897844,1
ABC-18-CPLX,71.90719408052567,38.662291463033554,1
ABC-18-CPLX,71.90719408052567,38.662291463033554,1
ABC-19-CPLX,60.44579283608501,32.49984775828956,1
CPLX0-2621,18.504777547659682,9.949450985460949,1
CPLX0-7720,28.607691851863965,15.381477953691405,1
TRANS-CPLX-203,55.82189362610485,30.013719058124366,1
CPLX0-7,46.92338727253413,25.22926528230138,1
CPLX0-7458,65.58109871472057,35.26094412938837,1
CPLX0-8119,68.09154694142678,36.61073509654916,1
CPLX0-7452,505.3396921555071,271.7056438619561,1
FLAGELLAR-MOTOR-COMPLEX,278.39698296009175,149.68551388027637,1
CPLX0-7452,505.3396921555071,271.7056438619561,1
FLAGELLAR-MOTOR-COMPLEX,278.39698296009175,149.68551388027637,1
CPLX0-3241,42.116158217693076,22.64456575085125,1
CPLX0-3241,42.116158217693076,22.64456575085125,1
NARQ-CPLX,62.259708370986985,33.475134473290126,1
CPLX0-7629,51.5483453333446,27.715963294062455,0
ABC-20-CPLX,74.87006468867656,40.255336060091594,1
ABC-20-CPLX,74.87006468867656,40.255336060091594,1
CPLX0-8238,43.04101468597228,23.141832690485128,1
ABC-22-CPLX,78.98744300108783,42.469124018494625,1
CPLX0-3970,78.85727958993257,42.39913914696325,1
ABC-22-CPLX,78.98744300108783,42.469124018494625,1
CPLX0-3970,78.85727958993257,42.39913914696325,1
ABC-22-CPLX,78.98744300108783,42.469124018494625,1
CPLX0-3970,78.85727958993257,42.39913914696325,1
PHOR-CPLX,54.32972434866339,29.21142543153645,1
PYRNUTRANSHYDROGEN-CPLX,81.5890730318583,43.867940643379036,1
PYRNUTRANSHYDROGEN-CPLX,81.5890730318583,43.867940643379036,1
ABC-24-CPLX,75.00714761948969,40.32904134498657,1
ABC-24-CPLX,75.00714761948969,40.32904134498657,1
ABC-24-CPLX,75.00714761948969,40.32904134498657,1
ABC-25-CPLX,76.78925289232686,41.28722465831516,1
ABC-25-CPLX,76.78925289232686,41.28722465831516,1
CPLX0-7642,58.517244645349614,31.462926582263425,1
CPLX0-7811,49.79126404018879,26.77123460663573,1
ABC-26-CPLX,79.3335013634482,42.6551889795862,1
ABC-27-CPLX,71.06894668773032,38.21159156530025,1
ABC-27-CPLX,71.06894668773032,38.21159156530025,1
ABC-27-CPLX,71.06894668773032,38.21159156530025,1
CPLX-157,62.011715628197166,33.341796386259226,1
CPLX0-8255,54.987531078784635,29.565107922579166,1
ABC-28-CPLX,70.19630715466194,37.74240006921888,1
ABC-29-CPLX,64.50182574062298,34.6806521735375,1
ABC-29-CPLX,64.50182574062298,34.6806521735375,1
SEC-SECRETION-CPLX,88.28155972756313,47.466285350753594,0
SECD-SECF-YAJC-YIDC-CPLX,59.905198281001596,32.209186656584514,1
SEC-SECRETION-CPLX,88.28155972756313,47.466285350753594,0
SEC-SECRETION-CPLX,88.28155972756313,47.466285350753594,0
SECD-SECF-YAJC-YIDC-CPLX,59.905198281001596,32.209186656584514,1
SEC-SECRETION-CPLX,88.28155972756313,47.466285350753594,0
SEC-SECRETION-CPLX,88.28155972756313,47.466285350753594,0
ABC-32-CPLX,79.87121594546016,42.94430160815558,1
EIISGC,47.96986598724084,25.79192477131639,1
CPLX0-8263,26.81597030475639,14.418124264806039,1
CPLX0-8104,60.417461082554794,32.484614643903015,1
CPLX0-8102,61.5405583375498,33.08846957064823,1
ABC-64-CPLX,68.74219759957856,36.96056998730999,1
TORS-CPLX,79.11739226854864,42.538993751533454,1
CPLX-168,61.790442074687604,33.22282438730642,1
CPLX0-8105,61.14982068334295,32.878381925514844,1
ABC-34-CPLX,76.87838728436793,41.33514948542791,1
ABC-34-CPLX,76.87838728436793,41.33514948542791,1
ABC-33-CPLX,74.68689606028319,40.156851909953595,1
ABC-21-CPLX,43.94641176908993,23.628636915915965,1
ABC-21-CPLX,43.94641176908993,23.628636915915965,1
ABC-61-CPLX,59.44614785124413,31.9623693285208,1
ABC-57-CPLX,67.3075512801434,36.18920468989266,1
ABC-55-CPLX,67.35840701182667,36.21654825608303,1
ABC-55-CPLX,67.35840701182667,36.21654825608303,1
ABC-55-CPLX,67.35840701182667,36.21654825608303,1
ABC-51-CPLX,66.59149313196386,35.80420219906545,1
ABC-59-CPLX,78.29073750056146,42.09452685238793,1
ABC-59-CPLX,78.29073750056146,42.09452685238793,1
ABC-58-CPLX,83.45634158694857,44.871913639958656,1
ABC-58-CPLX,83.45634158694857,44.871913639958656,1
ABC-40-CPLX,65.18831559272466,35.04975669899914,1
ABC-40-CPLX,65.18831559272466,35.04975669899914,1
ABC-41-CPLX,79.3335013634482,42.6551889795862,1
ABC-41-CPLX,79.3335013634482,42.6551889795862,1
ABC-41-CPLX,79.3335013634482,42.6551889795862,1
CPLX0-7992,93.64587628605517,50.350513736193605,1
ABC-52-CPLX,68.04123917915341,36.583686156693595,1
ABC-52-CPLX,68.04123917915341,36.583686156693595,1
TRANS-CPLX-204,99.66845658724533,53.58867033431345,1
SEC-SECRETION-CPLX,88.28155972756313,47.466285350753594,0
CPLX0-7955,61.3175845669927,32.96858341716772,1
CPLX0-7807,72.00237240687225,38.713465928137204,1
ABC-42-CPLX,71.02074800691476,38.185676613817954,1
ABC-42-CPLX,71.02074800691476,38.185676613817954,1
CPLX0-7535,55.205058188416864,29.682065573635533,1
ABC-46-CPLX,71.42940012429553,38.40539631601448,1
ABC-49-CPLX,77.27821979070927,41.55012715343778,1
ABC-49-CPLX,77.27821979070927,41.55012715343778,1
ABC-49-CPLX,77.27821979070927,41.55012715343778,1
ABC-60-CPLX,63.07930979383697,33.91580900521885,1
ABC-46-CPLX,71.42940012429553,38.40539631601448,1
ABC-63-CPLX,67.58678425889823,36.33933969305549,1
